Date,Portfolio_Value
30-Apr-25,79997434
31-May-25,86292446
30-Jun-25,90235725
31-Jul-25,87619327
31-Aug-25,88273679
30-Sep-25,85079652
31-Oct-25,84540089
30-Nov-25,85659733
31-Dec-25,83172247
31-Jan-26,82087858
28-Feb-26,72329065
31-Mar-26,62988544
30-Apr-26,73181447
